batch_num,episode_end,episodes_range,global_step,mean_return,mean_distance,mean_survival,success_rate,current_phase,random_percentage,bump_ratio
1,20,1-20,30720,-9.02388651950971,-0.07344425735315172,223.3,0.0,1,1.0,0.5
2,40,21-40,30720,-8.165536254313855,0.06297593749017885,467.05,0.0,1,1.0,0.5
3,60,41-60,61440,-1.822965014827707,1.2931684711076104,856.35,0.0,1,1.0,0.5
4,80,61-80,92160,19.8419902779451,5.7039214035608925,1513.75,0.0,1,1.0,0.5
5,100,81-100,122880,17.95753342324893,5.325109780722644,1447.75,0.0,1,1.0,0.5
6,120,101-120,153600,25.521208202842736,6.854919571979787,1457.25,0.0,1,1.0,0.5
7,140,121-140,184320,21.193733777104995,5.9829330676045265,1186.15,0.0,1,1.0,0.5
8,160,141-160,184320,23.748778208450474,6.511211002803115,730.75,0.0,1,1.0,0.5
9,180,161-180,215040,27.823233392912528,7.338837651339612,1096.1,0.0,1,1.0,0.5
10,200,181-200,245760,34.02775379721714,8.574966377018704,1178.7,0.0,1,1.0,0.5
11,220,201-220,245760,30.24480540107721,7.828296684025574,941.55,0.0,1,1.0,0.5
12,240,221-240,276480,29.242780602187302,7.610911157142302,818.7,0.0,1,1.0,0.5
13,260,241-260,276480,35.76741032517383,8.924901777347788,853.7,0.0,1,1.0,0.5
14,280,261-280,307200,29.179251184501936,7.605941083975019,877.55,0.0,1,1.0,0.5
15,300,281-300,307200,37.04591215884377,9.18841168448605,791.0,0.0,1,1.0,0.5
16,320,301-320,337920,27.59858532511704,7.270557717315972,671.05,0.0,1,1.0,0.5
17,340,321-340,368640,39.48685597623108,9.67102613907581,987.4,0.0,1,1.0,0.5
18,360,341-360,368640,32.97948127080628,8.376581178214765,740.85,0.0,1,1.0,0.5
19,380,361-380,399360,38.00969931837298,9.389604795629918,956.9,0.0,1,1.0,0.5
20,400,381-400,430080,45.79147423927702,10.941037485671469,1247.8,0.0,1,1.0,0.5
21,420,401-420,430080,43.255345255860576,10.423473947766583,895.15,0.0,1,1.0,0.5
22,440,421-440,460800,38.497756514454316,9.475683717199498,820.85,0.0,1,1.0,0.5
23,460,441-460,460800,38.07610871296093,9.386959999831934,844.15,0.0,1,1.0,0.5
24,480,461-480,491520,40.30909317379759,9.823140757356867,875.1,0.0,1,1.0,0.5
25,500,481-500,491520,50.07031629347121,11.80456976872208,971.45,0.0,1,1.0,0.5
26,520,501-520,522240,34.667601178629965,8.712518779384192,764.1,0.0,1,1.0,0.5
27,540,521-540,522240,44.4185003043698,10.664386925563118,804.4,0.0,1,1.0,0.5
28,560,541-560,552960,46.454113452641955,11.08619913160877,921.65,0.0,1,1.0,0.5
29,580,561-580,583680,51.21865978592375,12.01209538413694,942.35,0.0,1,1.0,0.5
30,600,581-600,583680,58.732268693489424,13.506427699527336,1152.55,0.0,1,1.0,0.5
31,620,601-620,614400,44.184201853609345,10.602014916127676,900.4,0.0,1,1.0,0.5
32,640,621-640,645120,45.268804060120715,10.833017089239156,849.5,0.0,1,1.0,0.5
33,660,641-660,645120,51.86635056055108,12.139140197395639,1079.4,0.0,1,1.0,0.5
34,680,661-680,675840,52.672485448473914,12.323520947721128,991.0,0.0,1,1.0,0.5
35,700,681-700,706560,44.76581306379157,10.72454574942243,1267.8,0.0,1,1.0,0.5
36,720,701-720,737280,58.54893236275268,13.481485016268058,1237.35,0.0,1,1.0,0.5
37,740,721-740,737280,71.5585231384163,16.09001881856593,1251.3,0.0,1,1.0,0.5
38,760,741-760,768000,47.519231120905786,11.288725964000573,923.1,0.0,1,1.0,0.5
39,780,761-780,798720,59.987345213022614,13.771968408929435,1063.1,0.0,1,1.0,0.5
40,800,781-800,829440,46.75524542143522,11.116662008043292,1113.45,0.0,1,1.0,0.5
41,820,801-820,829440,72.84784502139073,16.34651093878636,1332.35,0.0,1,1.0,0.5
42,840,821-840,890880,50.09367339467461,11.810882050898865,1253.4,0.0,1,1.0,0.5
43,860,841-860,890880,74.59350054114738,16.722359343388796,1482.9,0.0,1,1.0,0.5
44,880,861-880,921600,54.45321781681419,12.657108399220853,1164.7,0.0,1,1.0,0.5
45,900,881-900,952320,72.69891243982394,16.311156592723925,1280.75,0.0,1,1.0,0.5
46,920,901-920,983040,67.80232968449145,15.362605204444558,1198.2,0.0,1,1.0,0.5
47,940,921-940,1013760,60.42925856376562,13.849755198625871,1182.3,0.0,1,1.0,0.5
