Episode      1 | Return:    -9.1 | Distance:  -0.08m | Steps:   99 | fell
Episode      2 | Return:    -8.9 | Distance:  -0.05m | Steps:  121 | fell
Episode      3 | Return:    -8.9 | Distance:  -0.06m | Steps:  122 | fell
Episode      4 | Return:    -9.0 | Distance:  -0.06m | Steps:  123 | fell
Episode      5 | Return:    -8.9 | Distance:  -0.04m | Steps:  150 | fell
Episode      6 | Return:    -9.0 | Distance:  -0.06m | Steps:  182 | fell
Episode      7 | Return:    -9.0 | Distance:  -0.07m | Steps:  184 | fell
Episode      8 | Return:    -9.1 | Distance:  -0.09m | Steps:   95 | fell
Episode      9 | Return:    -9.0 | Distance:  -0.06m | Steps:  245 | fell
Episode     10 | Return:    -9.1 | Distance:  -0.09m | Steps:  259 | fell
Episode     11 | Return:    -8.9 | Distance:  -0.05m | Steps:  126 | fell
Episode     12 | Return:    -9.2 | Distance:  -0.11m | Steps:  313 | fell
Episode     13 | Return:    -9.0 | Distance:  -0.06m | Steps:  333 | fell
Episode     14 | Return:    -8.9 | Distance:  -0.05m | Steps:  336 | fell
Episode     15 | Return:    -9.2 | Distance:  -0.11m | Steps:  232 | fell
Episode     16 | Return:    -9.1 | Distance:  -0.09m | Steps:  365 | fell
Episode     17 | Return:    -9.2 | Distance:  -0.11m | Steps:  273 | fell
Episode     18 | Return:    -8.9 | Distance:  -0.05m | Steps:  382 | fell
Episode     19 | Return:    -8.9 | Distance:  -0.05m | Steps:  131 | fell
Episode     20 | Return:    -9.3 | Distance:  -0.13m | Steps:  395 | fell
Episode     21 | Return:    -9.2 | Distance:  -0.11m | Steps:  438 | fell
Episode     22 | Return:    -9.0 | Distance:  -0.06m | Steps:  450 | fell
Episode     23 | Return:    -9.3 | Distance:  -0.15m | Steps:  490 | fell
Episode     24 | Return:    -9.0 | Distance:  -0.05m | Steps:  503 | fell
Episode     25 | Return:    -9.4 | Distance:  -0.14m | Steps:  556 | fell
Episode     26 | Return:    -9.0 | Distance:  -0.06m | Steps:  214 | fell
Episode     27 | Return:    -8.9 | Distance:  -0.04m | Steps:  264 | fell
Episode     28 | Return:    -9.1 | Distance:  -0.09m | Steps:  232 | fell
Episode     29 | Return:    -9.0 | Distance:  -0.08m | Steps:  156 | fell
Episode     30 | Return:    -8.9 | Distance:  -0.04m | Steps:  498 | fell
Episode     31 | Return:    -8.9 | Distance:  -0.05m | Steps:  215 | fell
Episode     32 | Return:    -8.9 | Distance:  -0.03m | Steps:  323 | fell
Episode     33 | Return:    -9.3 | Distance:  -0.12m | Steps:  742 | fell
Episode     34 | Return:    -4.4 | Distance:   0.67m | Steps:  750 | no_progress
Episode     35 | Return:    -5.3 | Distance:   0.50m | Steps:  750 | no_progress
Episode     36 | Return:    -5.3 | Distance:   0.47m | Steps:  750 | no_progress
Episode     37 | Return:    -9.4 | Distance:  -0.17m | Steps:  374 | fell
Episode     38 | Return:    -9.4 | Distance:  -0.14m | Steps:  174 | fell
Episode     39 | Return:    -2.7 | Distance:   0.99m | Steps:  750 | no_progress
Episode     40 | Return:    -8.9 | Distance:  -0.05m | Steps:  712 | fell
Episode     41 | Return:    16.4 | Distance:   5.05m | Steps:  958 | fell
Episode     42 | Return:    -9.2 | Distance:  -0.12m | Steps:  326 | fell
Episode     43 | Return:    -8.9 | Distance:  -0.05m | Steps:  668 | fell
Episode     44 | Return:    -9.0 | Distance:  -0.06m | Steps:  137 | fell
Episode     45 | Return:    -3.6 | Distance:   0.83m | Steps:  750 | no_progress
Episode     46 | Return:    -8.8 | Distance:  -0.03m | Steps:  115 | fell
Episode     47 | Return:    -9.2 | Distance:  -0.10m | Steps:  137 | fell
Episode     48 | Return:    -6.5 | Distance:   0.25m | Steps:  750 | no_progress
Episode     49 | Return:    -8.9 | Distance:  -0.05m | Steps:   74 | fell
Episode     50 | Return:    -2.5 | Distance:   1.05m | Steps:  750 | no_progress
Episode     51 | Return:    -9.0 | Distance:  -0.06m | Steps:  979 | fell
Episode     52 | Return:    -8.9 | Distance:  -0.04m | Steps: 1084 | fell
Episode     53 | Return:    -4.7 | Distance:   0.61m | Steps:  750 | no_progress
Episode     54 | Return:    -5.1 | Distance:   0.54m | Steps:  750 | no_progress
Episode     55 | Return:    -2.7 | Distance:   1.02m | Steps: 1500 | no_progress
Episode     56 | Return:     2.5 | Distance:   2.05m | Steps: 1500 | no_progress
Episode     57 | Return:     0.6 | Distance:   1.70m | Steps: 1500 | no_progress
Episode     58 | Return:    -3.2 | Distance:   0.91m | Steps:  750 | no_progress
Episode     59 | Return:    16.5 | Distance:   5.06m | Steps: 1760 | fell
Episode     60 | Return:    27.7 | Distance:   7.29m | Steps: 1889 | flipped
Episode     61 | Return:    -3.1 | Distance:   0.94m | Steps:  750 | no_progress
Episode     62 | Return:    16.4 | Distance:   5.05m | Steps: 1525 | fell
Episode     63 | Return:    27.2 | Distance:   7.20m | Steps: 1593 | flipped
Episode     64 | Return:    29.6 | Distance:   7.70m | Steps: 1528 | fell
Episode     65 | Return:     6.3 | Distance:   2.81m | Steps: 2250 | no_progress
Episode     66 | Return:    17.3 | Distance:   5.22m | Steps: 1109 | flipped
Episode     67 | Return:    37.1 | Distance:   9.20m | Steps: 1699 | fell
Episode     68 | Return:    26.3 | Distance:   7.08m | Steps: 1766 | fell
Episode     69 | Return:    16.6 | Distance:   5.10m | Steps: 1327 | fell
Episode     70 | Return:    41.2 | Distance:  10.04m | Steps: 2073 | fell
Episode     71 | Return:    17.3 | Distance:   5.24m | Steps: 1599 | fell
Episode     72 | Return:    10.3 | Distance:   3.69m | Steps: 1500 | no_progress
Episode     73 | Return:    17.1 | Distance:   5.20m | Steps: 1740 | fell
Episode     74 | Return:    17.4 | Distance:   5.23m | Steps: 1358 | flipped
Episode     75 | Return:    12.5 | Distance:   4.09m | Steps: 1500 | no_progress
Episode     76 | Return:    17.0 | Distance:   5.15m | Steps:  511 | flipped
Episode     77 | Return:    39.3 | Distance:   9.63m | Steps: 2622 | fell
Episode     78 | Return:    17.9 | Distance:   5.32m | Steps: 2321 | flipped
Episode     79 | Return:    16.5 | Distance:   5.06m | Steps:  958 | fell
Episode     80 | Return:    16.7 | Distance:   5.11m | Steps:  546 | fell
Episode     81 | Return:    17.3 | Distance:   5.21m | Steps:  816 | flipped
Episode     82 | Return:     4.0 | Distance:   2.42m | Steps: 2250 | no_progress
Episode     83 | Return:     0.7 | Distance:   1.79m | Steps: 2250 | no_progress
Episode     84 | Return:    17.3 | Distance:   5.21m | Steps:  605 | flipped
Episode     85 | Return:     0.7 | Distance:   1.78m | Steps: 2250 | no_progress
Episode     86 | Return:    43.9 | Distance:  10.56m | Steps: 2622 | fell
Episode     87 | Return:    17.3 | Distance:   5.20m | Steps:  457 | flipped
Episode     88 | Return:    17.2 | Distance:   5.19m | Steps: 1548 | flipped
Episode     89 | Return:    30.5 | Distance:   7.84m | Steps: 1321 | flipped
Episode     90 | Return:    16.5 | Distance:   5.07m | Steps:  724 | fell
Episode     91 | Return:    45.0 | Distance:  10.75m | Steps: 1684 | flipped
Episode     92 | Return:    17.9 | Distance:   5.22m | Steps: 2250 | no_progress
Episode     93 | Return:    16.4 | Distance:   5.05m | Steps:  720 | fell
Episode     94 | Return:    18.1 | Distance:   5.37m | Steps:  811 | flipped
Episode     95 | Return:     9.9 | Distance:   3.67m | Steps: 3750 | no_progress
Episode     96 | Return:    18.1 | Distance:   5.46m | Steps: 2250 | no_progress
Episode     97 | Return:    17.5 | Distance:   5.25m | Steps:  923 | flipped
Episode     98 | Return:    17.3 | Distance:   5.22m | Steps:  658 | flipped
Episode     99 | Return:    16.5 | Distance:   5.08m | Steps:  547 | fell
Episode    100 | Return:    17.0 | Distance:   5.16m | Steps:  519 | flipped
Episode    101 | Return:    17.3 | Distance:   5.22m | Steps:  787 | flipped
Episode    102 | Return:    27.2 | Distance:   7.20m | Steps: 1314 | flipped
Episode    103 | Return:    45.2 | Distance:  10.76m | Steps: 3750 | no_progress
Episode    104 | Return:    16.8 | Distance:   5.15m | Steps:  859 | fell
Episode    105 | Return:    16.8 | Distance:   5.13m | Steps:  772 | fell
Episode    106 | Return:    29.5 | Distance:   7.68m | Steps: 1192 | fell
Episode    107 | Return:    16.7 | Distance:   5.10m | Steps:  518 | fell
Episode    108 | Return:    27.0 | Distance:   7.16m | Steps:  632 | flipped
Episode    109 | Return:    -2.6 | Distance:   1.14m | Steps: 1500 | no_progress
Episode    110 | Return:    29.6 | Distance:   7.69m | Steps: 1006 | flipped
Episode    111 | Return:    33.0 | Distance:   8.34m | Steps: 3750 | no_progress
Episode    112 | Return:    27.4 | Distance:   7.22m | Steps: 1104 | flipped
Episode    113 | Return:    39.7 | Distance:   9.74m | Steps: 1743 | flipped
Episode    114 | Return:     3.8 | Distance:   2.39m | Steps: 1500 | no_progress
Episode    115 | Return:    17.9 | Distance:   5.26m | Steps: 3000 | no_progress
Episode    116 | Return:    83.9 | Distance:  18.62m | Steps: 3116 | fell
Episode    117 | Return:    29.2 | Distance:   7.62m | Steps:  696 | fell
Episode    118 | Return:    18.0 | Distance:   5.34m | Steps:  900 | flipped
Episode    119 | Return:    16.9 | Distance:   5.14m | Steps:  388 | fell
Episode    120 | Return:    17.3 | Distance:   5.21m | Steps:  618 | flipped
Episode    121 | Return:    17.2 | Distance:   5.22m | Steps:  949 | flipped
Episode    122 | Return:    16.4 | Distance:   5.05m | Steps:  382 | fell
Episode    123 | Return:    51.4 | Distance:  12.04m | Steps: 1964 | fell
Episode    124 | Return:     3.1 | Distance:   2.21m | Steps: 1500 | no_progress
Episode    125 | Return:     1.2 | Distance:   1.87m | Steps: 2250 | no_progress
Episode    126 | Return:    16.5 | Distance:   5.06m | Steps:  796 | fell
Episode    127 | Return:    16.7 | Distance:   5.10m | Steps:  680 | fell
Episode    128 | Return:    19.6 | Distance:   5.68m | Steps: 2250 | no_progress
Episode    129 | Return:    18.5 | Distance:   5.43m | Steps: 1500 | no_progress
Episode    130 | Return:    12.4 | Distance:   4.13m | Steps: 1500 | no_progress
Episode    131 | Return:    17.6 | Distance:   5.28m | Steps:  798 | flipped
Episode    132 | Return:    16.5 | Distance:   5.06m | Steps:  586 | fell
Episode    133 | Return:    17.8 | Distance:   5.36m | Steps: 1185 | flipped
Episode    134 | Return:    40.0 | Distance:   9.76m | Steps: 1568 | flipped
Episode    135 | Return:    17.2 | Distance:   5.21m | Steps:  512 | fell
Episode    136 | Return:    26.3 | Distance:   7.03m | Steps:  737 | fell
Episode    137 | Return:    30.1 | Distance:   7.82m | Steps: 1172 | flipped
Episode    138 | Return:    49.6 | Distance:  11.68m | Steps: 1110 | flipped
Episode    139 | Return:    17.3 | Distance:   5.22m | Steps:  784 | flipped
Episode    140 | Return:    18.5 | Distance:   5.45m | Steps: 1500 | no_progress
Episode    141 | Return:    39.2 | Distance:   9.62m | Steps: 1127 | fell
